Index: 264825 | Node id: 46920537 | Distance: 42626.908231 | Name:  
Index: 4029815 | Node id: 504894329 | Distance: 42818.185252 | Name:  
Index: 2174611 | Node id: 336906614 | Distance: 43345.484883 | Name:  
Index: 18945463 | Node id: 1134704593 | Distance: 43488.756874 | Name:  
Index: 264824 | Node id: 46920525 | Distance: 43595.518044 | Name:  
Index: 18945491 | Node id: 1134704682 | Distance: 43727.443192 | Name:  
Index: 6770751 | Node id: 634581243 | Distance: 43987.497372 | Name:  
Index: 264823 | Node id: 46920511 | Distance: 44320.688525 | Name:  
Index: 6765638 | Node id: 633689808 | Distance: 44397.891683 | Name:  
Index: 6744830 | Node id: 632209935 | Distance: 44550.291569 | Name: Vilanova i la Geltr̼ 
Index: 9579589 | Node id: 939097568 | Distance: 45246.784508 | Name:  
Index: 264822 | Node id: 46920492 | Distance: 45294.671252 | Name:  
Index: 6770715 | Node id: 634581141 | Distance: 45369.110120 | Name:  
Index: 6770713 | Node id: 634581137 | Distance: 45545.372500 | Name:  
Index: 6770701 | Node id: 634581113 | Distance: 45982.203485 | Name:  
Index: 264821 | Node id: 46920484 | Distance: 46211.585577 | Name:  
Index: 6770694 | Node id: 634581072 | Distance: 46618.365470 | Name:  
Index: 264820 | Node id: 46920461 | Distance: 46814.358531 | Name:  
Index: 6770692 | Node id: 634581068 | Distance: 46879.633268 | Name:  
Index: 21465331 | Node id: 1299717969 | Distance: 46939.156783 | Name:  
Index: 6770691 | Node id: 634581067 | Distance: 46999.402540 | Name:  
Index: 6770693 | Node id: 634581070 | Distance: 47097.837368 | Name:  
Index: 264819 | Node id: 46920444 | Distance: 47569.619552 | Name:  
Index: 264818 | Node id: 46920427 | Distance: 47760.980947 | Name:  
Index: 6770688 | Node id: 634581063 | Distance: 47919.811735 | Name:  
Index: 6770689 | Node id: 634581064 | Distance: 48089.734038 | Name:  
Index: 6770690 | Node id: 634581065 | Distance: 48241.102919 | Name:  
Index: 8530768 | Node id: 796751037 | Distance: 49119.069494 | Name:  
Index: 8530775 | Node id: 796751049 | Distance: 49192.113602 | Name:  
Index: 264817 | Node id: 46920419 | Distance: 49672.950317 | Name: Cubelles 
Index: 9770972 | Node id: 957147045 | Distance: 49933.693747 | Name:  
Index: 9770971 | Node id: 957147044 | Distance: 50052.613024 | Name:  
Index: 264816 | Node id: 46920413 | Distance: 50912.401572 | Name:  
Index: 2517944 | Node id: 367656942 | Distance: 51702.314664 | Name:  
Index: 264815 | Node id: 46920404 | Distance: 52229.587220 | Name:  
Index: 23343380 | Node id: 1489169407 | Distance: 52884.783405 | Name:  
Index: 23343373 | Node id: 1489169400 | Distance: 53242.015985 | Name:  
Index: 264814 | Node id: 46920389 | Distance: 53468.394873 | Name: Cunit 
Index: 264813 | Node id: 46920379 | Distance: 54757.362699 | Name:  
Index: 10933673 | Node id: 1066621412 | Distance: 55811.321827 | Name: Segur de Calafell 
Index: 264812 | Node id: 46920376 | Distance: 56090.692140 | Name:  
Index: 264810 | Node id: 46920344 | Distance: 57295.896603 | Name:  
Index: 4634815 | Node id: 540031213 | Distance: 58308.979967 | Name:  
Index: 4634814 | Node id: 540031211 | Distance: 58356.649530 | Name:  
Index: 264809 | Node id: 46920333 | Distance: 58697.696784 | Name: Calafell 
Index: 4634771 | Node id: 540031157 | Distance: 59002.875661 | Name:  
Index: 4634770 | Node id: 540031155 | Distance: 59033.022523 | Name:  
Index: 264808 | Node id: 46920324 | Distance: 59334.327979 | Name:  
Index: 264807 | Node id: 46920312 | Distance: 60028.047464 | Name:  
Index: 264806 | Node id: 46920307 | Distance: 60910.162360 | Name:  
Index: 264805 | Node id: 46920293 | Distance: 61914.854612 | Name:  
Index: 6610174 | Node id: 619499719 | Distance: 62093.972394 | Name:  
Index: 9161293 | Node id: 892728793 | Distance: 62434.211519 | Name: Sant Vicen̤ de Calders 
Index: 264804 | Node id: 46920282 | Distance: 62743.858576 | Name:  
Index: 6610172 | Node id: 619499715 | Distance: 62900.255310 | Name:  
Index: 6610171 | Node id: 619499713 | Distance: 63037.078010 | Name:  
Index: 6610170 | Node id: 619499710 | Distance: 63371.726538 | Name:  
Index: 264803 | Node id: 46920276 | Distance: 63761.411568 | Name:  
Index: 264802 | Node id: 46919904 | Distance: 64709.690446 | Name:  
Index: 264801 | Node id: 46919896 | Distance: 65783.412576 | Name:  
Index: 264800 | Node id: 46919508 | Distance: 66663.019408 | Name:  
Index: 264799 | Node id: 46919499 | Distance: 67752.715547 | Name:  
Index: 8527332 | Node id: 795963086 | Distance: 69073.049933 | Name:  
Index: 8527171 | Node id: 795962816 | Distance: 69083.419073 | Name:  
Index: 264798 | Node id: 46911473 | Distance: 69230.373272 | Name:  
Index: 10933728 | Node id: 1066621668 | Distance: 69451.831545 | Name:  
Index: 10933727 | Node id: 1066621666 | Distance: 69602.131847 | Name:  
Index: 264797 | Node id: 46911470 | Distance: 69785.177739 | Name:  
Index: 264796 | Node id: 46911466 | Distance: 70563.764011 | Name:  
Index: 264795 | Node id: 46911457 | Distance: 71501.934629 | Name:  
Index: 264794 | Node id: 46911448 | Distance: 72645.222621 | Name:  
Index: 264793 | Node id: 46911442 | Distance: 73286.460066 | Name:  
Index: 1098525 | Node id: 271498120 | Distance: 73654.298902 | Name: Torredembarra 
Index: 264792 | Node id: 46911440 | Distance: 73963.900964 | Name:  
Index: 264791 | Node id: 46911436 | Distance: 75223.870729 | Name:  
Index: 21535692 | Node id: 1308922868 | Distance: 75643.207817 | Name:  
Index: 264790 | Node id: 46911433 | Distance: 75921.811238 | Name:  
Index: 19954841 | Node id: 1208534753 | Distance: 76337.961623 | Name:  
Index: 19954863 | Node id: 1208534775 | Distance: 76374.422305 | Name:  
Index: 264789 | Node id: 46911424 | Distance: 76501.013265 | Name: Altafulla 
Index: 19954946 | Node id: 1208534862 | Distance: 76603.139867 | Name:  
Index: 19954921 | Node id: 1208534837 | Distance: 76659.574009 | Name:  
Index: 19954950 | Node id: 1208534866 | Distance: 76764.893864 | Name:  
Index: 264788 | Node id: 46911418 | Distance: 76983.108993 | Name:  
Index: 264787 | Node id: 46911408 | Distance: 77566.629730 | Name:  
Index: 264786 | Node id: 46911399 | Distance: 78243.140740 | Name:  
Index: 13998224 | Node id: 1088337416 | Distance: 78298.359050 | Name:  
Index: 13998251 | Node id: 1088337462 | Distance: 78343.709131 | Name:  
Index: 13998314 | Node id: 1088337559 | Distance: 78439.466851 | Name:  
